id	name	symbol	name_synonyms	symbol_synonyms	description	genes	refs	GO_CC	GO_BP	GO_MF
FBgg0001641	7SK SMALL NUCLEAR RIBONUCLEOPROTEIN	7SKRNP	-	7SK snRNP	7SK small nuclear ribonucleoprotein (7SK snRNP) plays a central role in RNA polymerase II elongation control by sequestering positive transcription elongation factor complex b (P-TEFb) and therefore regulating the availability of active P-TEFb. (Adapted from PMID:28431135.)	Q7K480,Q8INF6,Q9W362,URS00007F2EC7_7227	22379134,21262214	7SK snRNP ; GO:0120259	negative regulation of transcription elongation from RNA polymerase II promoter ; GO:0034244	P-TEFb complex binding ; GO:0106140
FBgg0000297	ACF COMPLEX	ACF	Acf1-ISWI complex|ATP-dependent chromatin-assembly factor|ATP-utilizing chromatin assembly and remodeling factor	-	ACF is an ISWI-containing chromatin remodeling complex that optimizes nucleosome spacing to promote chromatin assembly. (Adapted from FBrf0228920).	Q9V9T4,Q24368	16821138,19355820,10385622	ACF complex ; GO:0016590	nucleosome mobilization ; GO:0042766	ATP-dependent chromatin remodeler activity ; GO:0140658
FBgg0001737	F-ACTIN CAPPING PROTEIN COMPLEX	ACPC	-	-	The F-actin capping protein complex is a heterodimer which regulates actin polymerization. The complex binds to the plus (barbed) end of actin filaments and blocks the exchange of actin monomers. (Adapted from FBrf0213674 and FBrf0224864).	Q9W2N0,P48603	24788460,21525075	F-actin capping protein complex ; GO:0008290	barbed-end actin filament capping ; GO:0051016	-
FBgg0001747	ADA COMPLEX	ADAC	Ada2/Gcn5/Ada3 transcription activator (ADA) complex	-	The Ada2/Gcn5/Ada3 transcription activator (ADA) complex is a Gcn5-containing histone acetyltransferase complex that regulates transcription by acetylating core histones, preferentially histone H3 and nucleosomal substrates. (Adapted from FBrf0242086, FBrf0247978 and FBrf0248705).	Q8I8V0,M9PHZ1,Q9VTZ1,Q9W2I4	32739556,30715476,32735945	ADA complex ; GO:0140671	histone acetylation ; GO:0016573	histone acetyltransferase activity ; GO:0004402
FBgg0000145	ADAPTOR PROTEIN COMPLEX 1	AP1	Adaptin 1|AP-1 adaptor complex	AP-1	Adaptor protein (AP) complexes select cargo for inclusion into clathrin coated vesicles in the late secretory and endocytic pathways. AP-1 is specific for trafficking between the trans-Golgi network and endosomes. (Adapted from PMID:10611976 and PMID:15066634).	Q24253,Q7KVR8,O62531,B8A403	11598180	AP-1 adaptor complex ; GO:0030121	vesicle-mediated transport ; GO:0016192	clathrin adaptor activity ; GO:0035615
FBgg0000161	ADAPTOR PROTEIN COMPLEX 2	AP2	Adaptin 2|AP-2 adaptor complex	AP-2	Adaptor protein (AP) complexes select cargo for inclusion into clathrin coated vesicles in the late secretory and endocytic pathways. AP-2 is involved in plasma membrane to endosome traffic. (Adapted from PMID:10611976 and PMID:15066634).	Q24253,P91926,O62530,Q9VDC3	11598180	AP-2 adaptor complex ; GO:0030122	vesicle-mediated transport ; GO:0016192	clathrin adaptor activity ; GO:0035615
FBgg0000136	ADAPTOR PROTEIN COMPLEX 3	AP3	Adaptin 3|AP-3 adaptor complex	AP-3	Adaptor protein (AP) complexes select cargo for inclusion into coated vesicles in the late secretory and endocytic pathways. AP complexes are heterotetramers. AP-3 is associated with endosomes and, to a less extent, the trans-Golgi network and appears to function independently of clathrin. Drosophila AP-3 genes were first linked to defects in the biogenesis of visual pigment granules. (Adapted from FBrf0129983 and PMID:15066634).	O76928,P54362,Q9W1E8,Q9W4K1	11598180	AP-3 adaptor complex ; GO:0030123	ommochrome biosynthetic process ; GO:0006727|vesicle-mediated transport ; GO:0016192	-
FBgg0000074	ANAPHASE-PROMOTING COMPLEX	APC	Anaphase-promoting complex/cyclosome|Anaphase promoting complex|APC-Cdc20 complex|Cyclosome	APC/C	Anaphase-promoting complex/cyclosome (APC/C) is a multisubunit E3 ubiquitin ligase. Active during mitosis and G1 phases of the cell cycle, it mediates the degradation of cyclins and other key cell cycle regulators triggering the metaphase to anaphase transition and the exit from mitosis. (Adapted from PMID:12208841).	Q9W395,Q9W3Y6,Q9V831,Q9VCN6,Q9I7L8,Q9VS37,Q9W4H9,Q24044,Q9VZL2,Q7KA43,Q9W1E5,Q9VXV3	12208841,17878237	anaphase-promoting complex ; GO:0005680	anaphase-promoting complex-dependent catabolic process ; GO:0031145|positive regulation of mitotic metaphase/anaphase transition ; GO:0045842	ubiquitin protein ligase activity ; GO:0061630
FBgg0000129	APOPTOSOME	APOP	-	-	The apoptosome is a ring-like multisubunit complex assembled upon receiving a pro-apoptotic signal. In Drosophila, Dark assembles into two stacked rings of eight subunits each. This scaffold binds ADP and an initiator caspase (Dronc in D.mel) which cleaves effector caspase(s). (Adapted from FBrf0212736).	Q7KLI1,Q9XYF4	23561633,21220123	apoptosome ; GO:0043293	activation of cysteine-type endopeptidase activity involved in execution phase of apoptosis ; GO:0097297	cysteine-type endopeptidase activity involved in apoptotic signaling pathway ; GO:0097199
FBgg0001553	ALTERNATIVE siRNA RISC-LOADING COMPLEX	aRLC	Alternative short interfering RNA-RNA-induced silencing complex loading complex	-	The alternative siRNA-RISC loading complex (aRLC) has been characterised in S2 cells. In the aRLC, loqs replaces r2d2 as the double-stranded RNA-binding domain-containing protein. siRNA RISC-loading complex binds small interfering RNAs (siRNAs) siRNA and loads it onto AGO2 to form RNA-induced silencing complexes (RISCs). (Adapted from FBrf0237457.)	Q9VUQ5,A1ZAW0,Q9VJY9	29040648	RISC-loading complex ; GO:0070578	small RNA loading onto RISC ; GO:0070922	-
